Stockout,1,out_of_stock,2015-04-10 07:21:14.321
Transaction,null,3,1,credit_cards,true,2015-04-09 18:12:04.409,null
Transaction,null,3,1,credit_cards,true,2015-04-09 18:13:30.999,null
Transaction,null,1,1,credit_cards,true,2015-04-09 18:13:51.532,null
Transaction,null,0,1,credit_cards,true,2015-04-09 18:15:06.66,null
Transaction,null,2,1,credit_cards,true,2015-04-09 18:15:24.834,null
Transaction,null,2,1,coins,true,2015-04-09 18:15:43.39,null
Transaction,null,1,1,credit_cards,true,2015-04-09 18:17:10.153,null
Transaction,null,0,1,credit_cards,true,2015-04-10 13:29:33.319,null
Transaction,null,12,1,coins,true,2015-04-10 13:29:33.553,null
Transaction,null,18,1,coins,true,2015-04-10 13:29:34.022,null
Transaction,null,42,1,coins,true,2015-04-10 13:29:34.334,null
Transaction,null,114,1,coins,true,2015-04-10 13:29:34.567,null
Transaction,null,138,1,coins,true,2015-04-10 13:29:34.645,null
Transaction,null,210,1,credit_cards,true,2015-04-10 13:29:40.14,null
Stockout,282,out_of_stock,2015-04-10 13:29:40.343
Transaction,null,318,1,coins,true,2015-04-10 13:29:40.553,null
Transaction,null,354,1,coins,true,2015-04-10 13:29:42.821,null
Stockout,366,out_of_stock,2015-04-10 13:29:42.883
Transaction,null,390,1,coins,true,2015-04-10 13:29:43.008,null
Transaction,null,402,1,credit_cards,true,2015-04-10 13:29:43.071,null
Stockout,426,out_of_stock,2015-04-10 13:29:43.196
Transaction,null,438,1,credit_cards,true,2015-04-10 13:29:43.274,null
Transaction,null,558,1,coins,true,2015-04-10 13:29:43.91,null
Transaction,null,606,1,coins,true,2015-04-10 13:29:43.971,null
Transaction,null,750,1,credit_cards,true,2015-04-10 13:29:44.189,null
Transaction,null,798,1,coins,true,2015-04-10 13:29:44.252,null
Transaction,null,0,1,credit_cards,true,2015-04-10 13:34:41.55,null
Transaction,null,12,1,coins,true,2015-04-10 13:34:41.8,null
Transaction,null,18,1,coins,true,2015-04-10 13:34:41.878,null
Transaction,null,42,1,coins,true,2015-04-10 13:34:42.175,null
Transaction,null,114,1,coins,true,2015-04-10 13:34:42.418,null
Transaction,null,138,1,coins,true,2015-04-10 13:34:42.496,null
Transaction,null,210,1,credit_cards,true,2015-04-10 13:34:46.476,null
Stockout,282,out_of_stock,2015-04-10 13:34:46.679
Transaction,null,318,1,coins,true,2015-04-10 13:34:46.854,null
Transaction,null,354,1,coins,true,2015-04-10 13:34:48.581,null
Stockout,366,out_of_stock,2015-04-10 13:34:48.66
Transaction,null,390,1,coins,true,2015-04-10 13:34:48.8,null
Transaction,null,402,1,credit_cards,true,2015-04-10 13:34:48.863,null
Stockout,426,out_of_stock,2015-04-10 13:34:48.988
Transaction,null,438,1,credit_cards,true,2015-04-10 13:34:49.097,null
Transaction,null,558,1,coins,true,2015-04-10 13:34:49.707,null
Transaction,null,606,1,coins,true,2015-04-10 13:34:49.77,null
Transaction,null,750,1,credit_cards,true,2015-04-10 13:34:49.988,null
Transaction,null,798,1,coins,true,2015-04-10 13:34:50.098,null
Transaction,null,0,1,credit_cards,true,2015-04-10 13:36:03.67,null
Transaction,null,12,1,coins,true,2015-04-10 13:36:03.857,null
Transaction,null,18,1,coins,true,2015-04-10 13:36:03.936,null
Transaction,null,24,1,coins,true,2015-04-10 13:36:03.998,null
Transaction,null,30,1,coins,true,2015-04-10 13:36:04.061,null
Transaction,null,42,1,coins,true,2015-04-10 13:36:04.232,null
Transaction,null,114,1,coins,true,2015-04-10 13:36:04.455,null
Transaction,null,138,1,coins,true,2015-04-10 13:36:04.518,null
Transaction,null,162,1,coins,true,2015-04-10 13:36:04.627,null
Transaction,null,210,1,credit_cards,true,2015-04-10 13:36:08.507,null
Transaction,null,234,1,coins,true,2015-04-10 13:36:08.57,null
Stockout,282,out_of_stock,2015-04-10 13:36:08.71
Transaction,null,318,1,coins,true,2015-04-10 13:36:08.929,null
