Transaction,null,0,1,coins,true,2015-04-09 16:34:02.456,null
Transaction,null,7,1,coins,true,2015-04-09 16:35:24.895,null
Stockout,0,out_of_stock,2015-04-09 21:10:15.759
Transaction,null,36,1,coins,true,2015-04-09 21:10:16.816,null
Transaction,null,60,1,coins,true,2015-04-09 21:10:16.966,null
Transaction,null,72,1,coins,true,2015-04-09 21:10:17.052,null
Transaction,null,84,1,coins,true,2015-04-09 21:10:17.132,null
Transaction,null,96,1,credit_cards,true,2015-04-09 21:10:17.217,null
Stockout,108,out_of_stock,2015-04-09 21:10:17.304
Transaction,null,120,1,credit_cards,true,2015-04-09 21:10:17.387,null
Stockout,0,out_of_stock,2015-04-09 21:18:34.754
Transaction,null,36,1,coins,true,2015-04-09 21:18:35.83,null
Transaction,null,60,1,coins,true,2015-04-09 21:18:36.166,null
Stockout,72,out_of_stock,2015-04-09 21:18:36.461
Stockout,0,out_of_stock,2015-04-09 21:35:41.636
Transaction,null,36,1,coins,true,2015-04-09 21:35:42.276,null
Transaction,null,60,1,coins,true,2015-04-09 21:35:42.427,null
Stockout,72,out_of_stock,2015-04-09 21:35:42.536
Transaction,null,84,1,coins,true,2015-04-09 21:35:42.624,null
Transaction,null,96,1,coins,true,2015-04-09 21:35:42.71,null
Transaction,null,108,1,credit_cards,true,2015-04-09 21:35:42.801,null
Stockout,120,out_of_stock,2015-04-09 21:35:42.885
Transaction,null,132,1,credit_cards,true,2015-04-09 21:35:42.978,null
Stockout,0,out_of_stock,2015-04-09 21:36:24.215
Stockout,0,out_of_stock,2015-04-09 21:37:09.495
Transaction,null,36,1,coins,true,2015-04-09 21:37:10.195,null
Transaction,null,60,1,coins,true,2015-04-09 21:37:10.479,null
Stockout,72,out_of_stock,2015-04-09 21:37:10.583
Stockout,0,out_of_stock,2015-04-09 21:38:55.346
Transaction,null,36,1,coins,true,2015-04-09 21:38:55.949,null
Transaction,null,60,1,coins,true,2015-04-09 21:38:56.102,null
Stockout,72,out_of_stock,2015-04-09 21:38:56.199
Stockout,0,out_of_stock,2015-04-09 21:39:24.885
Stockout,0,out_of_stock,2015-04-09 21:40:00.309
Stockout,0,out_of_stock,2015-04-09 21:40:40.326
Stockout,0,out_of_stock,2015-04-09 21:41:38.12
Stockout,0,out_of_stock,2015-04-09 21:42:33.417
Stockout,0,out_of_stock,2015-04-09 21:42:54.787
Stockout,0,out_of_stock,2015-04-09 21:43:24.804
Transaction,null,36,1,coins,true,2015-04-09 21:43:25.762,null
Transaction,null,60,1,coins,true,2015-04-09 21:43:26.202,null
Stockout,72,out_of_stock,2015-04-09 21:43:26.335
Transaction,null,84,1,coins,true,2015-04-09 21:43:46.31,null
Transaction,null,96,1,coins,true,2015-04-09 21:43:46.403,null
Transaction,null,108,1,credit_cards,true,2015-04-09 21:43:46.499,null
Stockout,120,out_of_stock,2015-04-09 21:43:46.578
Transaction,null,132,1,credit_cards,true,2015-04-09 21:43:46.656,null
Stockout,0,out_of_stock,2015-04-09 21:48:44.808
Transaction,null,36,1,coins,true,2015-04-09 21:48:45.406,null
Transaction,null,72,1,coins,true,2015-04-09 21:48:53.043,null
Stockout,84,out_of_stock,2015-04-09 21:48:53.219
Transaction,null,96,1,coins,true,2015-04-09 21:48:53.444,null
Transaction,null,108,1,coins,true,2015-04-09 21:48:53.67,null
Transaction,null,120,1,credit_cards,true,2015-04-09 21:48:53.761,null
Stockout,132,out_of_stock,2015-04-09 21:48:53.905
Transaction,null,144,1,credit_cards,true,2015-04-09 21:48:54.072,null
Stockout,0,out_of_stock,2015-04-09 22:06:19.237
Transaction,null,36,1,coins,true,2015-04-09 22:06:20.234,null
Transaction,null,72,1,coins,true,2015-04-09 22:06:29.883,null
Stockout,84,out_of_stock,2015-04-09 22:06:30.212
Transaction,null,96,1,coins,true,2015-04-09 22:06:30.565,null
Transaction,null,108,1,coins,true,2015-04-09 22:06:30.802,null
Transaction,null,120,1,credit_cards,true,2015-04-09 22:06:30.897,null
Stockout,144,out_of_stock,2015-04-09 22:06:31.145
Transaction,null,156,1,credit_cards,true,2015-04-09 22:06:31.241,null
